"","x"
"1","ULLA"
"2","FRAM"
"3","ACNE"
"4","ACNE"
"5","ACNE"
"6","CEOC"
"7","ACNE"
"8","CEOC"
"9","CEOC"
"10","CEOC"
"11","CEOC"
"12","CEOC"
"13","CEOC"
"14","CEOC"
"15","CEOC"
"16","MOAL"
"17","ACNE"
"18","CEOC"
"19","ACNE"
"20","ACNE"
"21","ACNE"
"22","ACNE"
"23","RHCA"
"24","FRPE"
"25","CEOC"
"26","PIMA"
"27","SYVU"
"28","PODE"
"29","QUMA"
"30","SOAM"
"31","FRPE"
"32","PRVI"
"33","PRVI"
"34","PRVI"
"35","PRVI"
"36","LOPER"
"37","LOPER"
"38","RHGL"
"39","ULAM"
"40","ACNE"
"41","ULAM"
"42","ULAM"
"43","ACNE"
"44","ACNE"
"45","ACNE"
"46","ACNE"
"47","ACNE"
"48","BEPA"
"49","ACNE"
"50","FRPE"
"51","ACNE"
"52","ACNE"
"53","SYRE"
"54","EUAL"
"55","ACNE"
"56","THOC"
"57","COSA"
"58","THOC"
"59","THOC"
"60","THOC"
"61","THOC"
"62","THOC"
"63","ULPU"
"64","ROPS"
"65","ROPS"
"66","ULPU"
"67","ULPU"
"68","ACSA"
"69","ULPU"
"70","ACNE"
"71","AEHI"
"72","AEHI"
"73","ROPS"
"74","ROPS"
"75","ACNE"
"76","ACNE"
"77","ACNE"
"78","ULAM"
"79","ULAM"
"80","ULAM"
"81","ULPU"
"82","ACNE"
"83","OSVI"
"84","AMCA"
"85","AMCA"
"86","ACNE"
"87","ULAM"
"88","OSVI"
"89","AMCA"
"90","ACPL"
"91","ACSA"
"92","FRPE"
"93","ACSA"
"94","TACA"
"95","TACA"
"96","TACA"
"97","TACA"
"98","TACA"
"99","TICO"
"100","TICO"
"101","THOC"
"102","TACA"
"103","ACPL"
"104","TACA"
"105","PIPU"
"106","EUAL"
"107","THOC"
"108","EUAL"
"109","QUMA"
"110","ULPU"
"111","TACA"
"112","ACPL"
"113","ACPL"
"114","ACPL"
"115","ACPL"
"116","ACPL"
"117","ACPL"
"118","QURU"
"119","QURU"
"120","QUMA"
"121","QUMA"
"122","PNNI"
"123","ACSC"
"124","ACSA"
"125","ACPL"
"126","ACPL"
"127","ACPL"
"128","ACPL"
"129","ACPL"
"130","ACSC"
"131","ACPL"
"132","QUMA"
"133","ACSC"
"134","ACSC"
"135","PIPU"
"136","PNNI"
"137","ACPL"
"138","PNNI"
"139","PNNI"
"140","PIAB"
"141","PIPU"
"142","PIAB"
"143","PNNI"
"144","PNST"
"145","ACNE"
"146","PIPU"
"147","PNNI"
"148","PIPU"
"149","PIPU"
"150","PIGL"
"151","ACSA"
"152","PNNI"
"153","PIGL"
"154","PNNI"
"155","PIGL"
"156","PIGL"
"157","PIGL"
"158","QURU"
"159","PNNI"
"160","PNNI"
"161","PNNI"
"162","PNNI"
"163","PIPU"
"164","THOC"
"165","PIAB"
"166","PIPU"
"167","QURU"
"168","QURU"
"169","PNNI"
"170","PNNI"
"171","PRVI"
"172","PIGL"
"173","PRVI"
"174","PIGL"
"175","PRVI"
"176","PIGL"
"177","PRVI"
"178","ACSA"
"179","PNNI"
"180","ACSA"
"181","GLTR"
"182","PIAB"
"183","PNNI"
"184","PNNI"
"185","PIAB"
"186","PIAB"
"187","PNNI"
"188","PNNI"
"189","ULRU"
"190","PIAB"
"191","PIAB"
"192","PIAB"
"193","PNNI"
"194","PNNI"
"195","PIPU"
"196","ACSA"
"197","ACSA"
"198","FRPE"
"199","ACSA"
"200","PRVI"
"201","ACRU"
"202","TACA"
"203","TACA"
"204","EUAL"
"205","TIAM"
"206","EUAL"
"207","TACA"
"208","EUAL"
"209","THOC"
"210","THOC"
"211","THOC"
"212","EUAL"
"213","THOC"
"214","TACA"
"215","TACA"
"216","THOC"
"217","TACA"
"218","THOC"
"219","TACA"
"220","ACSC"
"221","ACSA"
"222","ACPL"
"223","PIPU"
"224","PIPU"
"225","ACFR"
"226","TICO"
"227","ELAN"
"228","ACSA"
"229","QUMA"
"230","ACSA"
"231","ACPL"
"232","ACSA"
"233","ACPL"
"234","ACPL"
"235","TICO"
"236","ACSA"
"237","PIPU"
"238","PIPU"
"239","QURU"
"240","ACPL"
"241","ACFR"
"242","ACPL"
"243","ACPL"
"244","ACPL"
"245","ACPL"
"246","ACPL"
"247","ACPL"
"248","ACSA"
"249","ACPL"
"250","ACPL"
"251","ACFR"
"252","ACPL"
"253","ACFR"
"254","ACPL"
"255","ACPL"
"256","ACPL"
"257","ACPL"
"258","ACPL"
"259","ACPL"
"260","ACPL"
"261","ACPL"
"262","ACPL"
"263","ACPL"
"264","ACPL"
"265","ACSA"
"266","ACSA"
"267","ACPL"
"268","TACA"
"269","TICO"
"270","TICO"
"271","AEHI"
"272","AEHI"
"273","AEHI"
"274","THOC"
"275","THOC"
"276","MOAL"
"277","PIGL"
"278","THOC"
"279","THOC"
"280","THOC"
"281","ACSA"
"282","ACPL"
"283","THOC"
"284","THOC"
"285","THOC"
"286","THOC"
"287","THOC"
"288","THOC"
"289","THOC"
"290","THOC"
"291","THOC"
"292","THOC"
"293","THOC"
"294","TACA"
"295","TACA"
"296","TACA"
"297","ACPL"
"298","RHCA"
"299","ACNE"
"300","ACPL"
"301","MOAL"
"302","TICO"
"303","ACSA"
"304","ACPL"
"305","ACPL"
"306","PRVI"
"307","FRPE"
"308","SADI"
"309","TIAM"
"310","PIAB"
"311","ULRU"
"312","TIAM"
"313","PIPU"
"314","ACSC"
"315","RHTY"
"316","MOAL"
"317","PIAB"
"318","ACPL"
"319","RHTY"
"320","ACSA"
"321","ACPL"
"322","TICO"
"323","PNST"
"324","QUMA"
"325","FAGR"
"326","ACSC"
"327","JUNI"
"328","ACSC"
"329","PIGL"
"330","ACPL"
"331","ACSA"
"332","ACSA"
"333","QURU"
"334","ACSC"
"335","ACRU"
"336","QURU"
"337","CEOC"
"338","TIAM"
"339","PNNI"
"340","ACPL"
"341","ACSA"
"342","ACPL"
"343","ACSA"
"344","GLTR"
"345","AMCA"
"346","PIPU"
"347","PODE"
"348","ACFR"
"349","ACSA"
"350","PRCE"
"351","TICO"
"352","MASY"
"353","PNST"
"354","AEHI"
"355","ACSA"
"356","TICO"
"357","ACSA"
"358","ACSA"
"359","THOC"
"360","THOC"
"361","THOC"
"362","THOC"
"363","TICO"
"364","ACPL"
"365","ACPL"
"366","ACPL"
"367","ACPL"
"368","ACPL"
"369","ACPL"
"370","ACGI"
"371","ACPL"
"372","ACPL"
"373","ACSA"
"374","ACSA"
"375","ACPL"
"376","TICO"
"377","ACSA"
"378","ACSA"
"379","ACSA"
"380","ACSA"
"381","TIAM"
"382","ACSA"
"383","QURU"
"384","ACSC"
"385","AEHI"
"386","SYVU"
"387","ACSA"
"388","SYVU"
"389","SYVU"
"390","ACPL"
"391","FRPE"
"392","THOC"
"393","THOC"
"394","THOC"
"395","THOC"
"396","TICO"
"397","TICO"
"398","AEHI"
"399","PNST"
"400","MASY"
"401","FRPE"
"402","FRPE"
"403","PIPU"
"404","ACNE"
"405","THOC"
"406","THOC"
"407","THOC"
"408","THOC"
"409","THOC"
"410","THOC"
"411","THOC"
"412","PNNI"
"413","ACNE"
"414","PNNI"
"415","MOAL"
"416","ACSC"
"417","ACSC"
"418","ACSC"
"419","ACSC"
"420","ACSC"
"421","ACSC"
"422","ACSC"
"423","ACSC"
"424","ACSC"
"425","ACSC"
"426","FRPE"
"427","FRPE"
"428","FRPE"
"429","FRPE"
"430","FRPE"
"431","FRPE"
"432","FRPE"
"433","FRPE"
"434","FRPE"
"435","FRPE"
"436","FRPE"
"437","FRPE"
"438","FRPE"
"439","FRPE"
"440","FRPE"
"441","FRPE"
"442","FRPE"
"443","FRPE"
"444","FRPE"
"445","FRPE"
"446","FRPE"
"447","FRPE"
"448","FRPE"
"449","FRPE"
"450","ACSC"
"451","ACSC"
"452","ACSC"
"453","ACSC"
"454","ACSC"
"455","ACSC"
"456","FRPE"
"457","FRPE"
"458","FRPE"
"459","FRPE"
"460","FRPE"
"461","FRPE"
"462","FRPE"
"463","FRPE"
"464","FRPE"
"465","FRPE"
"466","ACSC"
"467","ACSC"
"468","ACSC"
"469","ACSC"
"470","FRPE"
"471","FRPE"
"472","FRPE"
"473","FRPE"
"474","FRPE"
"475","FRPE"
"476","FRPE"
"477","FRPE"
"478","FRPE"
"479","FRPE"
"480","FRPE"
"481","FRPE"
"482","FRPE"
"483","FRPE"
"484","FRPE"
"485","FRPE"
"486","FRPE"
"487","FRPE"
"488","FRPE"
"489","FRPE"
"490","FRPE"
"491","FRPE"
"492","GLTR"
"493","GLTR"
"494","GLTR"
"495","GLTR"
"496","GLTR"
"497","GLTR"
"498","GLTR"
"499","GLTR"
"500","FRPE"
"501","FRPE"
"502","FRPE"
"503","FRPE"
"504","FRPE"
"505","FRPE"
"506","FRPE"
"507","FRPE"
"508","FRPE"
"509","FRPE"
"510","FRPE"
"511","ACSA"
"512","GYDI"
"513","GYDI"
"514","ULPU"
"515","SACA"
"516","ULPU"
"517","ULPU"
"518","AMCA"
"519","ULAM"
"520","ULPU"
"521","AMCA"
"522","CEOC"
"523","CEOC"
"524","ACNE"
"525","ACNE"
"526","ACNE"
"527","ACPL"
"528","AEHI"
"529","FRPE"
"530","QUMA"
"531","TIAM"
"532","TIAM"
"533","ABBA"
"534","ACFR"
"535","ACPL"
"536","ACPL"
"537","ACPL"
"538","ACPL"
"539","ACPL"
"540","ACPL"
"541","ACPL"
"542","ACPL"
"543","ACSA"
"544","ACSA"
"545","ACSA"
"546","ACSA"
"547","ACSC"
"548","ACFRAB"
"549","ACFRAB"
"550","CEOC"
"551","FRPE"
"552","FRPE"
"553","GLTR"
"554","GLTR"
"555","GLTR"
"556","GYDI"
"557","GYDI"
"558","MA"
"559","MAXXSS"
"560","MAXXSS"
"561","MAXXSS"
"562","MAXXSS"
"563","PIGL"
"564","PIGL"
"565","PIPU"
"566","SYVU"
"567","SYVU"
"568","SYVU"
"569","THOC"
"570","THOC"
"571","ULPU"
"572","ULXXMO"
"573","ACPL"
"574","ACPL"
"575","ACPL"
"576","ACPL"
"577","ACPL"
"578","ACPL"
"579","ACPL"
"580","ACPL"
"581","ACPL"
"582","ACPL"
"583","ACPL"
"584","ACPL"
"585","ACPL"
"586","ACSA"
"587","ACSA"
"588","ACSA"
"589","ACSA"
"590","ACSA"
"591","ACSA"
"592","ACSA"
"593","ACSA"
"594","ACSA"
"595","AEHI"
"596","CTSP"
"597","CTSP"
"598","FRPE"
"599","LALA"
"600","PIPU"
"601","PIPU"
"602","QURU"
"603","QURU"
"604","QURU"
"605","QURU"
"606","ACFR"
"607","ACFR"
"608","ACNE"
"609","ACPL"
"610","ACPL"
"611","ACPL"
"612","ACPL"
"613","ACPL"
"614","ACPL"
"615","ACPL"
"616","ACPL"
"617","ACPL"
"618","ACPL"
"619","ACSA"
"620","ACSA"
"621","ACSA"
"622","ACSA"
"623","ACSA"
"624","ACSA"
"625","ACSA"
"626","ACSA"
"627","ACSA"
"628","ACSA"
"629","AEHI"
"630","AEHI"
"631","AEHI"
"632","CEOC"
"633","GLTR"
"634","LALA"
"635","LALA"
"636","PIGL"
"637","PIGL"
"638","QURU"
"639","QURU"
"640","QURU"
"641","ULPU"
"642","ULPU"
"643","ULPU"
"644","ULPU"
"645","ULPU"
"646","ULPU"
"647","ACNE"
"648","ACNE"
"649","ACNE"
"650","ACSA"
"651","ACSA"
"652","ACSA"
"653","ACSA"
"654","ACSA"
"655","BEPA"
"656","BEPA"
"657","BEPE"
"658","CTSP"
"659","CEOC"
"660","CEOC"
"661","CEOC"
"662","GLTR"
"663","PIPU"
"664","PR"
"665","QURU"
"666","ULPU"
"667","ACPL"
"668","ACPL"
"669","ACSA"
"670","ACSA"
"671","ACSA"
"672","ACSA"
"673","MA"
"674","ACPA"
"675","ACPA"
"676","ACPL"
"677","ACPL"
"678","ACPL"
"679","ACPL"
"680","ACPL"
"681","ACSA"
"682","ACSA"
"683","ACSA"
"684","ACSA"
"685","ACSA"
"686","ACSA"
"687","ACSA"
"688","ACSA"
"689","ACSA"
"690","ACSA"
"691","ACSA"
"692","ACSA"
"693","ACSA"
"694","ACSA"
"695","ACSA"
"696","CTSP"
"697","CTSP"
"698","CG"
"699","FRPE"
"700","GLTR"
"701","LALA"
"702","ABBA"
"703","ACNE"
"704","ACNE"
"705","ACNE"
"706","ACNE"
"707","ACPA"
"708","ACPL"
"709","ACPL"
"710","ACPL"
"711","ACSA"
"712","FRPE"
"713","FRPE"
"714","FRPE"
"715","GLTR"
"716","GLTR"
"717","MA"
"718","MA"
"719","MA"
"720","MA"
"721","PIGL"
"722","PIGL"
"723","PIGL"
"724","PIGL"
"725","PIGL"
"726","PIPU"
"727","PIPU"
"728","PNRE"
"729","PNRE"
"730","PNSY"
"731","PODE"
"732","PR"
"733","ULAM"
"734","ULPU"
"735","ULPU"
"736","ULPU"
"737","ULPU"
"738","ULPU"
"739","ULPU"
"740","ULPU"
"741","ULPU"
"742","ULPU"
"743","ULPU"
"744","ULPU"
"745","ULPU"
"746","ACNIGC"
"747","ACSA"
"748","ACSA"
"749","ACSA"
"750","ACSA"
"751","ACSA"
"752","ACSA"
"753","ACSA"
"754","ACSA"
"755","ACSC"
"756","ACSC"
"757","ACFRAB"
"758","GLTR"
"759","GLTR"
"760","GLTR"
"761","GLTR"
"762","GLTR"
"763","GLTR"
"764","GLTR"
"765","GLTR"
"766","GLTR"
"767","GLTR"
"768","GLTR"
"769","GLTR"
"770","GLTRSH"
"771","GLTRSK"
"772","GLTRSK"
"773","GLTRSK"
"774","GLTRSK"
"775","GLTRSK"
"776","GLTRSK"
"777","GLTRSK"
"778","GLTRSK"
"779","GLTRSK"
"780","GLTRSK"
"781","GLTRSK"
"782","GLTRSK"
"783","GLTRSK"
"784","GLTRSK"
"785","GYDI"
"786","GYDI"
"787","GYDI"
"788","GYDI"
"789","GYDI"
"790","GYDI"
"791","OSVI"
"792","TIAM"
"793","TIAM"
"794","TIAM"
"795","TIAM"
"796","TIAM"
"797","TIAM"
"798","TIAM"
"799","TIAM"
"800","TIAM"
"801","TIAM"
"802","TIAM"
"803","TICO"
"804","TICO"
"805","TICO"
"806","TICO"
"807","TICO"
"808","TICO"
"809","TICO"
"810","TICO"
"811","TICO"
"812","TICO"
"813","TICOSH"
"814","TICOSH"
"815","ZESE"
"816","ZESE"
"817","ZESE"
"818","CG"
"819","CGMO"
"820","GLTRSK"
"821","GLTRSK"
"822","GLTRIN"
"823","GLTRIN"
"824","MAPRRI"
"825","MAXXRO"
"826","MAXXRO"
"827","MAXXRO"
"828","MAXXRO"
"829","MAXXRO"
"830","MAXXRO"
"831","MAXXRO"
"832","MAXXRO"
"833","QURU"
"834","QURU"
"835","ULAM"
"836","AM"
"837","AM"
"838","CEOC"
"839","FRPE"
"840","FRPE"
"841","GIBI"
"842","GIBI"
"843","GIBI"
"844","GIBI"
"845","GIBI"
"846","GIBI"
"847","MAXXTH"
"848","MAXXTH"
"849","MAXXTH"
"850","MAXXTH"
"851","MAXXTH"
"852","MAXXTH"
"853","MAXXTH"
"854","MAXXTH"
"855","MAXXTH"
"856","MAXXTH"
"857","MAXXTH"
"858","MAXXTH"
"859","MAXXTH"
"860","MAXXTH"
"861","MAXXTH"
"862","MAXXTH"
"863","MAXXTH"
"864","MAXXTH"
"865","MAXXTH"
"866","MAXXTH"
"867","MAXXTH"
"868","MAXXTH"
"869","POCA"
"870","POCA"
"871","QURO"
"872","TICO"
"873","ACNE"
"874","MASY"
"875","ACSA"
"876","ABBA"
"877","FRPE"
"878","PRVI"
"879","ACFR"
"880","CEOC"
"881","ACFR"
"882","ACSA"
"883","MA"
"884","ACSA"
"885","ACSA"
"886","MA"
"887","MA"
"888","ACSA"
"889","ULAM"
"890","FRPR"
"891","TICO"
"892","ACPL"
"893","PIMA"
"894","FRPE"
"895","PRVI"
"896","PRVI"
"897","PRVI"
"898","PRVI"
"899","PRVI"
"900","BEPA"
"901","MOAL"
"902","JUVI"
"903","ACPL"
"904","ACPL"
"905","ACPL"
"906","SYVU"
"907","PRVI"
"908","PRVI"
"909","ACPL"
"910","ACPL"
"911","SYRE"
"912","ACRU"
"913","CAAB"
"914","CAAB"
"915","ACRU"
"916","SYRE"
"917","SYRE"
"918","SOAM"
"919","ROPS"
"920","ACPL"
"921","ACPL"
"922","PIAB"
"923","PIAB"
"924","ACSA"
"925","ACSC"
"926","ACPA"
"927","ACSC"
"928","ACPL"
"929","SYRE"
"930","AEHI"
"931","ACPL"
"932","ACSA"
"933","THOC"
"934","GLTR"
"935","GLTR"
"936","THOC"
"937","GLTR"
"938","THOC"
"939","GLTR"
"940","THOC"
"941","GLTR"
"942","GLTR"
"943","GLTR"
"944","THOC"
"945","THOC"
"946","THOC"
"947","THOC"
"948","THOC"
"949","THOC"
"950","THOC"
"951","THOC"
"952","THOC"
"953","THOC"
"954","THOC"
"955","THOC"
"956","THOC"
"957","PIPU"
"958","PIPU"
"959","ACPA"
"960","ACPA"
"961","JUVI"
"962","JUVI"
"963","ACPL"
"964","ACPL"
"965","ACPL"
"966","ACPL"
"967","ACPA"
"968","ARSP"
"969","ARSP"
"970","CTSP"
"971","ARSP"
"972","ARSP"
"973","ARSP"
"974","ACPA"
"975","ACPA"
"976","ACPL"
"977","ACPL"
"978","ACPL"
"979","ACPL"
"980","ULAM"
"981","ULAM"
"982","ACNE"
"983","ULAM"
"984","ULAM"
"985","ULAM"
"986","ACFR"
"987","ULAM"
"988","ACNE"
"989","ACNE"
"990","ACNE"
"991","ACNE"
"992","ACNE"
"993","THOC"
"994","THOC"
"995","THOC"
"996","QURU"
"997","ACPL"
"998","ACNE"
"999","ULRU"
"1000","ULRU"
"1001","ACPL"
"1002","ACPL"
"1003","ACPL"
"1004","ACNE"
"1005","ACNE"
"1006","PRAV"
"1007","PRAV"
"1008","FRPE"
"1009","PIPU"
"1010","FRPE"
"1011","TIAM"
"1012","PIAB"
"1013","MA"
"1014","TIAM"
"1015","ULAM"
"1016","JUVI"
"1017","ACPL"
"1018","ULAM"
"1019","ACPL"
"1020","JUCI"
"1021","THOC"
"1022","THOC"
"1023","THOC"
"1024","THOC"
"1025","HYAR"
"1026","ACPL"
"1027","ACPL"
"1028","MASY"
"1029","ACPL"
"1030","ACPL"
"1031","FRPE"
"1032","ACPL"
"1033","SYVU"
"1034","ACPL"
"1035","ACPL"
"1036","ACSA"
"1037","ACSA"
"1038","ACSA"
"1039","PNNI"
"1040","PNNI"
"1041","ACSA"
"1042","ACSA"
"1043","ACSA"
"1044","ACSA"
"1045","GLTR"
"1046","PIPU"
"1047","PIPU"
"1048","SYVU"
"1049","PIPU"
"1050","GLTR"
"1051","PIPU"
"1052","PIPU"
"1053","GLTR"
"1054","GLTR"
"1055","MAIO"
"1056","GLTR"
"1057","GLTR"
"1058","ULPU"
"1059","AEHI"
"1060","EUAL"
"1061","EUAL"
"1062","EUAL"
"1063","EUAL"
"1064","EUAL"
"1065","EUAL"
"1066","EUAL"
"1067","EUAL"
"1068","EUAL"
"1069","EUAL"
"1070","GLTR"
"1071","GLTR"
"1072","EUAL"
"1073","EUAL"
"1074","EUAL"
"1075","EUAL"
"1076","EUAL"
"1077","EUAL"
"1078","EUAL"
"1079","EUAL"
"1080","EUAL"
"1081","EUAL"
"1082","SOAM"
"1083","SOAM"
"1084","GLTR"
"1085","PIGL"
"1086","PIGL"
"1087","PIGL"
"1088","ACNE"
"1089","MOAL"
"1090","MASY"
"1091","TICO"
"1092","TICO"
"1093","RHCA"
"1094","CAAB"
"1095","CAAB"
"1096","PRCE"
"1097","CAAB"
"1098","THOC"
"1099","THOC"
"1100","MAXXDA"
"1101","THOC"
"1102","THOC"
"1103","THOC"
"1104","PRVI"
"1105","THOC"
"1106","THOC"
"1107","THOC"
"1108","GLTR"
"1109","RHCA"
"1110","THOC"
"1111","THOC"
"1112","THOC"
"1113","THOC"
"1114","HY"
"1115","TACA"
"1116","TACA"
"1117","MA"
"1118","RHCA"
"1119","RHCA"
"1120","RHCA"
"1121","RHCA"
"1122","ACPL"
"1123","ACPL"
"1124","ACPL"
"1125","ACPL"
"1126","ACPL"
"1127","ACPL"
"1128","ACPL"
"1129","ACPL"
"1130","ACPL"
"1131","AMCA"
"1132","AMSA"
"1133","THOC"
"1134","PIGL"
"1135","PIGL"
"1136","PIGL"
"1137","ACGI"
"1138","RHCA"
"1139","ACGI"
"1140","ACGI"
"1141","ACGI"
"1142","ACGI"
"1143","ACGI"
"1144","PNRE"
"1145","PNRE"
"1146","PIPU"
"1147","GLTR"
"1148","GLTR"
"1149","GLTR"
"1150","GLTR"
"1151","THOC"
"1152","THOC"
"1153","THOC"
"1154","THOC"
"1155","THOC"
"1156","ULMI"
"1157","THOC"
"1158","THOC"
"1159","THOC"
"1160","GLTR"
"1161","SOAM"
"1162","PIAB"
"1163","THOC"
"1164","THOC"
"1165","THOC"
"1166","THOC"
"1167","RHCA"
"1168","ACPA"
"1169","MGXXSO"
"1170","MA"
"1171","GYDI"
"1172","THOC"
"1173","ACPL"
"1174","ACPL"
"1175","ACPL"
"1176","ACNE"
"1177","ACNE"
"1178","ACNE"
"1179","ACNE"
"1180","ACNE"
"1181","ACNE"
"1182","ULPU"
"1183","ACPL"
"1184","ACPL"
"1185","ACPL"
"1186","ACPL"
"1187","ACPL"
"1188","ACPL"
"1189","THOC"
"1190","THOC"
"1191","THOC"
"1192","ACNE"
"1193","GYDI"
"1194","GYDI"
"1195","GYDI"
"1196","GYDI"
"1197","SYVU"
"1198","PIPU"
"1199","PIPU"
"1200","PNNI"
"1201","PIPU"
"1202","ACSA"
"1203","CTSP"
"1204","PIMA"
"1205","SYREIS"
"1206","CEOC"
"1207","ACPL"
"1208","ACPA"
"1209","MASY"
"1210","ACNE"
"1211","ACNE"
"1212","AMCA"
"1213","SYVU"
"1214","HY"
"1215","SYREIS"
"1216","ST"
"1217","MAKO"
"1218","ROPS"
"1219","TSCA"
"1220","ACSC"
"1221","ACNE"
"1222","PRCR"
"1223","ACPA"
"1224","SYVU"
"1225","THOC"
"1226","MA"
"1227","SYVU"
"1228","ULAM"
"1229","ULAM"
"1230","ULAM"
"1231","QURU"
"1232","JUNI"
"1233","GIBI"
"1234","BEPA"
"1235","GLTR"
"1236","THOC"
"1237","SYVU"
"1238","ACSC"
"1239","ACPL"
"1240","ACSA"
"1241","MASY"
"1242","ACNE"
"1243","THOC"
"1244","TACA"
"1245","TACA"
"1246","EU"
"1247","LOPER"
"1248","EU"
"1249","EU"
"1250","PIPU"
"1251","AMCA"
"1252","AMCA"
"1253","EU"
"1254","EU"
"1255","THOC"
"1256","TACA"
"1257","ABBA"
"1258","COAL"
"1259","AMCA"
"1260","EUAL"
"1261","MA"
"1262","CG"
"1263","MASY"
"1264","ACPL"
"1265","PRVI"
"1266","RHCA"
"1267","RHCA"
"1268","SYVU"
"1269","GLTR"
"1270","GLTR"
"1271","GLTR"
"1272","TIAM"
"1273","TIAM"
"1274","ACPA"
"1275","THOC"
"1276","THOC"
"1277","THOC"
"1278","THOC"
"1279","THOC"
"1280","THOC"
"1281","THOC"
"1282","THOC"
"1283","PIMA"
"1284","ACPL"
"1285","THOC"
"1286","THOC"
"1287","SYVU"
"1288","THOC"
"1289","THOC"
"1290","THOC"
"1291","THOC"
"1292","SYPU"
"1293","SYPU"
"1294","PRDO"
"1295","HEMI"
"1296","THOC"
"1297","THOC"
"1298","THOC"
"1299","THOC"
"1300","THOC"
"1301","THOC"
"1302","THOC"
"1303","THOC"
"1304","THOC"
"1305","PIPU"
"1306","THOC"
"1307","THOC"
"1308","THOC"
"1309","THOC"
"1310","THOC"
"1311","THOC"
"1312","ACRU"
"1313","CEOC"
"1314","HYPA"
"1315","HY"
"1316","HY"
"1317","CTCO"
"1318","ACPL"
"1319","HY"
"1320","THOC"
"1321","THOC"
"1322","THOC"
"1323","THOC"
"1324","THOC"
"1325","THOC"
"1326","HY"
"1327","CEOC"
"1328","THOC"
"1329","THOC"
"1330","THOC"
"1331","THOC"
"1332","THOC"
"1333","BEPA"
"1334","THOC"
"1335","BEPA"
"1336","THOC"
"1337","THOC"
"1338","THOC"
"1339","THOC"
"1340","THOC"
"1341","THOC"
"1342","ACPL"
"1343","GYDI"
"1344","GYDI"
"1345","ULPU"
"1346","ULPU"
"1347","ULPU"
"1348","ULPU"
"1349","ACPL"
"1350","ULPU"
"1351","ACPL"
"1352","ACPL"
"1353","ULPU"
"1354","SOAU"
"1355","ULPU"
"1356","ULPU"
"1357","ULPU"
"1358","CTSP"
"1359","ACNE"
"1360","ACSA"
"1361","CEOC"
"1362","AEHI"
"1363","ACPL"
"1364","GYDI"
"1365","PNRE"
"1366","PNRE"
"1367","PNRE"
"1368","PNRE"
"1369","PNRE"
"1370","PNRE"
"1371","PNRE"
"1372","PNRE"
"1373","ACPL"
"1374","ACPL"
"1375","ACNE"
"1376","PIAB"
"1377","FRPE"
"1378","PIAB"
"1379","ULRU"
"1380","ACNE"
"1381","ULRU"
"1382","ROPS"
"1383","ROPS"
"1384","ROPS"
"1385","ROPS"
"1386","ACPL"
"1387","ACPL"
"1388","ACPL"
"1389","ROPS"
"1390","ROPS"
"1391","ROPS"
"1392","ROPS"
"1393","ROPS"
"1394","ACNE"
"1395","ACNE"
"1396","ACNE"
"1397","ROPS"
"1398","ROPS"
"1399","ULAM"
"1400","ROPS"
"1401","ULAM"
"1402","ULAM"
"1403","ACNE"
"1404","ACPL"
"1405","ACPL"
"1406","ACPL"
"1407","PIPU"
"1408","PIPU"
"1409","PNNI"
"1410","GLTR"
"1411","GLTR"
"1412","GLTR"
"1413","GLTR"
"1414","ACSA"
"1415","PRVI"
"1416","PR"
"1417","THOC"
"1418","THOC"
"1419","THOC"
"1420","THOC"
"1421","THOC"
